training_year,forestPctLeft,accuracy
2012,96.4890625,97.19688073660483
2013,96.65125,97.02408000174918
2014,96.56,97.12130122444253
2015,96.375625,97.31774136618594
2016,95.82125,97.90839358898731
2017,95.5734375,98.17242245746617
2018,95.33875,98.42246745144801
2019,95.1503125,98.62323593529764
2020,95.049375,98.73077858916734
2021,94.780625,99.01711506696282
2022,94.3471875,99.47891587475621
2023,94.6034375,99.20589737267215
2024,94.1390625,99.70066017035131
