run_index,seed,dynamic_rates_elapsed_years,dynamic_rates_event_total,dynamic_rates_final_forest_pct,dynamic_rates_final_forested,dynamic_rates_final_permanent_agriculture,dynamic_rates_final_burned,dynamic_rates_final_logged_degraded,dynamic_rates_final_other_temp_disturbance,dynamic_rates_final_settlement_infrastructure,dynamic_rates_to_ag,dynamic_rates_to_burned,dynamic_rates_to_logged,dynamic_rates_to_other,dynamic_rates_to_settlement,dynamic_rates_to_forested,fixed_rates_elapsed_years,fixed_rates_event_total,fixed_rates_final_forest_pct,fixed_rates_final_forested,fixed_rates_final_permanent_agriculture,fixed_rates_final_burned,fixed_rates_final_logged_degraded,fixed_rates_final_other_temp_disturbance,fixed_rates_final_settlement_infrastructure,fixed_rates_to_ag,fixed_rates_to_burned,fixed_rates_to_logged,fixed_rates_to_other,fixed_rates_to_settlement,fixed_rates_to_forested
1,42,10.188651144795498,2,98.0,98,2,0,0,0,0,2,0,0,0,0,0,11.076850038012365,2,98.0,98,2,0,0,0,0,2,0,0,0,0,0
2,43,20.69504142847696,1,99.0,99,1,0,0,0,0,1,0,0,0,0,0,20.69504142847696,1,99.0,99,1,0,0,0,0,1,0,0,0,0,0
